tick_ts_ms,symbols_count,bytes_sent_per_client
1762758671495,3,87
1762758671596,3,87
1762758671697,3,87
1762758671798,3,87
1762758671899,3,87
1762758672001,3,87
1762758672102,3,87
1762758672203,3,87
1762758672304,3,87
1762758672405,3,87
1762758672506,3,87
1762758672607,3,87
1762758672708,3,87
1762758672809,3,87
1762758672910,3,87
1762758673011,3,87
1762758673112,3,87
1762758673213,3,87
1762758673314,3,87
1762758673415,3,87
1762758673516,3,87
1762758673617,3,87
1762758673718,3,87
1762758673820,3,87
1762758673921,3,87
1762758674021,3,87
1762758674122,3,87
1762758674223,3,87
1762758674324,3,87
1762758674425,3,87
1762758674526,3,87
1762758674627,3,87
1762758674727,3,87
1762758674828,3,87
1762758674929,3,87
1762758675030,3,87
1762758675130,3,87
1762758675231,3,87
1762758675332,3,87
1762758675433,3,87
1762758675534,3,87
1762758675635,3,87
1762758675735,3,87
1762758675836,3,87
1762758675937,3,87
1762758676038,3,87
1762758676139,3,87
1762758676240,3,87
1762758676341,3,87
1762758676442,3,87
1762758676544,3,87
1762758676645,3,87
1762758676746,3,87
1762758676847,3,87
1762758676948,3,87
1762758677049,3,87
1762758677150,3,87
1762758677251,3,87
1762758677352,3,87
1762758677453,3,87
1762758677554,3,87
1762758677655,3,87
1762758677756,3,87
1762758677857,3,87
1762758677958,3,87
1762758678059,3,87
1762758678160,3,87
1762758678261,3,87
1762758678362,3,87
1762758678463,3,87
1762758678564,3,87
1762758678666,3,87
1762758678767,3,87
1762758678868,3,87
1762758678969,3,87
1762758679070,3,87
1762758679171,3,87
1762758679272,3,87
1762758679373,3,87
1762758679474,3,87
1762758679575,3,87
1762758679676,3,87
1762758679777,3,87
1762758679877,3,87
1762758679978,3,87
1762758680079,3,87
1762758680180,3,87
1762758680281,3,87
1762758680382,3,87
1762758680483,3,87
1762758680584,3,87
1762758680686,3,87
1762758680787,3,87
1762758680888,3,87
1762758680989,3,87
1762758681090,3,87
1762758681191,3,87
1762758681292,3,87
1762758681393,3,87
1762758681494,3,87
1762758681595,3,87
1762758681696,3,87
